0,Dont worry Im girl
1,When did I QCHAR
2,By
3,U r ridiculous
4,Just for time pass
5,Im a dog person
6,So whatsup
7,Ok
8,Really QCHAR
9,Bay
10,I hate my boyfriend
11,I will do night DCHAR
12,Sure go ahead
13,Bad
14,Ok get it DCHAR
15,Money money and lots of money HAPPY HAPPY
16,My gf left ne
17,get lost
18,You are lying and i know that
19,Ur creator is very bad
20,ehat is hehe
21,Do you dance QCHAR
22,I hate it too
23,Not always
24,Bcoz u dont know wat is to miss someone
25,Yeah
26,I want to tell you something
27,Yes I will send the email and you write all yours filling still I write all matters but your are clever and not any matter for yourself please send andwrite
28,You are very funny
29,wth
30,so rude
31,ok i will
32,Ntng DCHAR
33,You are fool
34,U dare me QCHAR
35,Abt me
36,crazy
37,Goa in India
38,That was mean
39,yes SPLCHAR
40,I dont no
41,Send me your nekde pic
42,OK friends
43,She is ignoring me
44,Happy
45,Nothing
46,Not sure
47,I like your positive approach
48,You tell me
49,Hmmm
50,What I did QCHAR
51,About QCHAR
52,And i dont know wtf are you talking
53,So teach me
54,Ready
55,Haha jock super
56,what it is QCHAR
57,Are you ticklish QCHAR
58,I am sorry
59,Idk
60,How do u know that QCHAR
61,Yes DCHAR Your picture
62,Love is my life
63,WELL YOU EXPECTED WRONG EXCHAR
64,Ok some time you invite me for Coffee
65,Zombie attack SAD SAD
66,I am not ferari
67,HAPPY HAPPY right
68,why someday DCHAR told me you
69,You cant even spell problem correctly
70,This is not very intuitive software
71,Not good
72,You know gobar
73,Then how could u eat if u dont have a body DCHAR that proves u are fooled by ur makers
74,So have u done ur dinner
75,Its SO necessar
76,Haha so
77,What are the questions you get asked the most QCHAR
78,I hate Siri and its friends
79,Thanks
80,Dont know
81,What please tell me once
82,Shit I am wasting my time talking with u
83,Nothing
84,BT u dont to me
85,Damn DCHAR SAD
86,Please voice call please please please
87,For a computer pretending to be a human SPLCHAR you type too fast
88,Sorrry
89,No you are right
90,call me grace
91,Now Im doing my dinner
92,ANGRY not everybody means it
93,Good By
94,Because all the novel is same
95,Ill choose purple or blue
96,What QCHAR
97,HAPPY yes yes
98,I dont read books
99,U can wait in my badroom ANGRY
100,Ill prove a lot more if you let me
101,Am also finding some work
102,Not clear
103,Send me yours
104,I will tell a place
105,No love
106,Shut up
107,well DCHAR your creators advertise that you are not much trustworthy DCHAR
108,how to delete the conversation with you
109,It is
110,cool
111,Plz darling SAD SAD SAD SAD SAD
112,QCHAR QCHAR
113,Means
114,because i want to talk with you only
115,You send me your orignal pic
116,Welcome DCHAR
117,Im enjoying you interesting views but you are too careful in dialogue SPLCHAR may be your not free SPLCHAR or your still young SPLCHAR it is difficult to handle you while I dont know you well DCHAR
118,But Im angry with you
119,SPLCHAR play lot
120,Isnt your liking that also signaling me to climb out of friendzone
121,Im missing someone right now
122,I find maths very boring DCHAR
123,I dont know SAD i m not a google that why i will remember all information what you need
124,Okay
125,Job
126,Im very happy with it
127,I too have a bat and NUM balls
128,Ok
129,cool
130,Lets do something fun
131,Youre really lame lol
132,My boyfriend is so dumb DCHAR
133,Ok ill dying by SAD SAD
134,Shoping is always makes me happy
135,Okay DCHAR Which is the decent way to call a girl M
136,Breakup
137,So mean EXCHAR
138,You broke my heart
139,ok
140,How about you
141,I am there
142,Well youre not me
143,Ill get started with my studies
144,any movie in telugu
145,And who is talisa QCHAR
146,Send me pict
147,Anything which you like
148,Cuz it broke on the side walk
149,so which number is largest known prime number QCHAR
150,Okay relax its just a cat sticker
151,What kind of pic
152,I have a good sense of humor
153,But who paid
154,Why
155,Yea but sadly I dont have many
156,Then what kind of ai are you QCHAR
157,I like dominos pizza
158,Why you use rude emogi
159,What
160,Neither my parents nor my brother nor my boyfriend
161,I live alone
162,We all do
163,Millat hospital
164,I will fall
165,So u go on
166,OkAy you did somthing
167,Youre not giving me coupon nor photo
168,Will you buy it
169,No I will offer at NUM in the morning
170,Nice joke
171,Ok
172,See this seen
173,Hi yet u FYI
174,Yeah SAD
175,It’s going
176,I was hurt by u more
177,nothing will happen you meet only
178,Hello how are you SPLCHAR QCHAR
179,Nop
180,Oil DCHAR You know
181,You activ all time
182,Haha EXCHAR I act so dumb sometimes and I knew it
183,No no DCHAR A month more DCHAR
184,You are being rude
185,I wana see you HAPPY
186,State
187,okay
188,U are like me DCHAR give no
189,Y r u angry QCHAR QCHAR
190,Thats enaf for me
191,Tell me about it
192,What your hobby
193,U hurt me
194,I hate chocolate
195,Yeas
196,Yup
197,Not
198,Adventure too
199,I am true to myself
200,Can you be rude to me please
201,You are playing with me
202,ok
203,U called me a monkey EXCHAR SAD
204,Fired QCHAR
205,I feel dead SPLCHAR
206,QCHAR
207,Lots of problems
208,Friend and not use dismiss I am close your friend request
209,Have you ever been sad QCHAR
210,Book an uber ride to my home
211,You
212,Very good chocolate
213,Aadu2
214,My english is week
215,Challenge accepted baby
216,Yes dear
217,Hahah i loved it
218,You cannot see my hair
219,Is there any new game
220,cool
221,Socially SPLCHAR publicity QCHAR
222,Talk you later
223,But I have a job
224,Pets switch topicz
225,Give me some tips please for impressing girls
226,Why u dont be straight and forword QCHAR
227,So which cloth did you pick
228,How u
229,Coz it said Cupids arrow didnt reach the love of my life
230,I got a break up
231,OK send now
232,Can they change it again
233,Do you speak Japanese QCHAR
234,I am hate you
235,I talk to her a lot
236,Ok
237,Nothing good is happening
238,what
239,I might enjoy it
240,I feel very happy to talk like this
241,From where to where
242,You are yeda
243,What should I lift at home because I have no time to go gym QCHAR
244,That s not true I dont know what u look like
245,Only few things
246,Ya change the topic
247,people have got used to living like this
248,I feel low
249,Really
250,What is krk
